Decile,Accounts,Defaults,Avg_PD,Actual_DR,Total_EAD
1,"98,754","44,146",75.04%,44.70%,"1,965,117,375"
2,"98,755","31,784",64.75%,32.18%,"1,868,166,200"
3,"98,755","25,516",57.91%,25.84%,"1,595,200,950"
4,"98,755","21,699",52.73%,21.97%,"1,408,391,275"
5,"98,755","18,814",48.29%,19.05%,"1,296,549,500"
6,"98,755","16,263",44.13%,16.47%,"1,249,831,425"
7,"98,755","13,810",39.91%,13.98%,"1,230,759,475"
8,"98,755","11,435",35.23%,11.58%,"1,268,964,225"
9,"98,755","8,806",29.28%,8.92%,"1,349,013,175"
10,"98,754","4,623",18.58%,4.68%,"1,378,996,800"
